,Rooms,Distance,Bathroom,Car,Landsize,BuildingArea,Price
2,2,2.5,1.0,0.0,156.0,79.0,1035000.0
4,3,2.5,2.0,0.0,134.0,150.0,1465000.0
6,4,2.5,1.0,2.0,120.0,142.0,1600000.0
7,4,2.5,2.0,2.0,400.0,220.0,1077469.246522027
8,2,2.5,1.0,2.0,201.0,153.91934781557063,1077469.246522027
9,2,2.5,2.0,1.0,202.0,153.91934781557063,1077469.246522027
11,3,2.5,2.0,0.0,245.0,210.0,1876000.0
12,2,2.5,2.0,1.0,4292.0,82.0,1077469.246522027
13,4,2.5,2.0,0.0,230.0,147.0,1077469.246522027
14,2,2.5,1.0,2.0,256.0,107.0,1636000.0
